"","O1903027","O1903029","O1903032","O1903033","O1903035","O1903040","O1903047","O1903048","O1903050","O1903054","O1903056","O1903057","O1903059","O1903062","O1903063","O1903065","O1903066","O1903069","O1903071","O1903072","O1903075","O1903076","O1903078","O1903080"
"4088_267.1226_5.7414_148_N/A_NA_no matches_no matches_no matches_no matches","3.495682e+05","1.782613e+05","2.705413e+05","2.297586e+05","1.285358e+05","2.449085e+05","2.311322e+05","9.387151e+04","1.704871e+05","2.607587e+05","1.344344e+05","1.442572e+05","1.328442e+05","1.928864e+05","2.270073e+05","1.271186e+05","2.718206e+05","2.820936e+05","3.363238e+05","2.042884e+05","2.075371e+05","1.886620e+05","3.188678e+05","1.250822e+05"
"4091_267.1337_4.6692_-1_N/A_NA_no matches_no matches_no matches_no matches","1.764791e+05","2.631354e+05","2.503949e+05","1.622161e+05","5.576337e+04","1.673833e+05","2.554181e+05","2.752830e+05","3.841463e+05","2.821831e+05","1.906981e+05","2.510550e+05","3.863064e+05","2.648755e+05","2.174161e+05","1.357048e+05","3.616961e+05","1.370984e+05","2.945871e+05","2.044732e+05","1.093632e+05","2.125715e+05","1.476851e+05","3.102641e+05"
"4113_267.1589_9.6385_1811_N/A_methyl 10-hydroxy-5-methyl-2-(propan-2-yl)-11,12-dioxatricyclo[5.3.2.01/4,?]dodec-8-ene-8-carboxylate_no matches_no matches_no matches_no matches","2.287585e+05","1.952138e+05","2.783117e+05","2.137296e+05","4.231429e+05","3.430245e+05","1.799312e+05","2.036367e+05","2.939444e+05","1.955153e+05","2.084216e+05","4.259602e+05","2.485554e+05","2.631410e+05","1.808653e+05","1.390244e+05","2.915303e+05","3.801957e+05","1.619498e+05","3.503192e+05","1.891030e+05","2.256267e+05","1.489684e+05","2.125800e+05"
"4126_267.1701_4.0038_1529_N/A_NA_no matches_no matches_no matches_no matches","2.662589e+05","1.538288e+05","2.298248e+05","2.080304e+05","2.712687e+05","2.566078e+05","2.760145e+05","2.430728e+05","2.488760e+05","2.410740e+05","2.743149e+05","2.705298e+05","1.440924e+05","2.876998e+05","2.753934e+05","2.545152e+05","2.435126e+05","3.164252e+05","2.717610e+05","2.540801e+05","2.783118e+05","2.466852e+05","2.540051e+05","2.487293e+05"
"4127_267.1701_3.9186_1529_N/A_NA_no matches_no matches_no matches_no matches","2.917087e+05","3.631197e+05","2.808435e+05","3.030800e+05","2.374320e+05","2.529900e+05","2.720130e+05","2.448578e+05","3.134196e+05","2.298329e+05","3.172104e+05","3.382032e+05","1.675774e+05","1.871338e+05","3.881797e+05","2.832437e+05","3.302983e+05","3.284029e+05","3.990152e+05","2.599726e+05","2.896374e+05","3.568182e+05","2.880047e+05","5.174376e+05"
"4128_267.1702_4.1952_1529_N/A_NA_no matches_no matches_no matches_no matches","1.338875e+05","1.487083e+05","2.025954e+05","2.131549e+05","1.177486e+05","1.342715e+05","1.649737e+05","1.156225e+05","1.548878e+05","2.151427e+05","2.177821e+05","1.597189e+05","3.799884e+05","1.475860e+05","1.551938e+05","2.158166e+05","2.183037e+05","1.420157e+05","1.768862e+05","1.441028e+05","1.571259e+05","2.286285e+05","1.491790e+05","1.528900e+05"
"4193_268.1541_1.7731_-1_N/A_(-)-n-benzoyl-2-hydroxy-2-phenylethylamine_no matches_no matches_no matches_no matches","3.254049e+05","2.966030e+05","1.721035e+05","3.630145e+05","2.581889e+05","1.151046e+05","3.398716e+05","4.054907e+05","7.985189e+04","3.119668e+05","3.285116e+05","3.586287e+05","1.103769e+05","1.696131e+05","3.121784e+05","2.459765e+05","3.474408e+05","3.118278e+05","2.710165e+05","2.480938e+05","1.350152e+05","2.866174e+05","1.027258e+05","3.650333e+05"
"4199_268.1753_3.2129_5870_N/A_NA_no matches_no matches_no matches_no matches","1.731440e+05","2.781608e+05","2.890164e+05","1.598926e+05","2.699306e+05","3.080854e+05","2.241984e+05","4.449087e+05","3.017278e+05","1.622706e+05","2.322026e+05","4.322798e+05","3.084825e+05","2.450420e+05","1.711360e+05","4.217140e+05","2.156913e+05","1.984692e+05","4.947901e+05","1.152110e+05","1.605953e+05","2.143268e+05","2.139618e+05","2.209315e+05"
"4311_270.1543_1.2855_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.974476e+03","2.389203e+03","0.000000e+00","0.000000e+00","1.226999e+03","1.295811e+03","8.888166e+02","0.000000e+00","1.556627e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.441450e+03","1.170339e+03","1.344423e+03","0.000000e+00"
"4324_270.1909_3.6163_494_N/A_NA_no matches_no matches_no matches_no matches","3.273120e+05","2.982470e+05","2.858506e+05","2.419500e+05","2.841824e+05","1.868302e+05","2.454679e+05","2.420608e+05","2.614603e+05","2.316398e+05","2.354365e+05","2.891729e+05","2.719229e+05","2.972992e+05","1.170403e+05","3.116810e+05","2.521382e+05","2.670498e+05","3.638305e+05","2.526256e+05","2.574466e+05","2.467554e+05","2.933762e+05","2.888233e+05"
"4353_271.1151_12.0192_-1_N/A_NICOTINAMIDE - 20.0 eV_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","2.108523e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.450909e+03","0.000000e+00","0.000000e+00","0.000000e+00"
"4382_271.169_9.7843_114_N/A_Dehydroepiandrosterone_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Diterpenoids","2.216481e+05","1.511420e+05","1.592042e+05","1.554979e+05","2.103365e+05","3.120116e+05","2.071737e+05","3.825109e+05","6.795348e+04","4.032038e+05","3.982380e+05","2.526731e+05","4.494862e+05","1.719451e+05","1.666263e+05","3.153315e+05","1.161805e+05","2.849243e+05","4.102222e+05","3.606753e+05","3.149130e+05","2.382447e+05","1.583308e+05","2.700958e+05"
"4420_271.2628_13.2038_-1_N/A_NA_no matches_no matches_no matches_no matches","2.398300e+03","0.000000e+00","7.838773e+03","3.213300e+03","0.000000e+00","1.009728e+04","0.000000e+00","3.866770e+03","0.000000e+00","4.162648e+03","1.590648e+03","2.635037e+03","3.939064e+03","2.206972e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.929956e+03","0.000000e+00","2.751739e+03","3.608681e+03","3.781065e+03","4.239610e+03"
"4567_274.1799_4.3281_4738_N/A_1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID_no matches_no matches_no matches_no matches","1.490117e+05","3.203098e+05","1.032897e+05","3.662785e+05","1.481856e+05","4.372374e+05","2.740659e+05","3.347860e+05","2.984352e+05","2.267382e+05","3.326502e+05","6.376640e+05","1.709177e+05","2.572347e+05","2.543830e+05","2.469082e+05","3.174615e+05","2.554943e+05","2.270971e+05","2.186960e+05","2.153534e+05","4.084133e+05","3.652390e+05","2.206471e+05"
"4574_274.1799_5.7515_2754_N/A_Propionic acid_no matches_no matches_no matches_no matches","2.155637e+05","1.787682e+05","1.861812e+05","2.456942e+05","2.159187e+05","1.558062e+05","2.826152e+05","2.561957e+05","2.829666e+05","3.437936e+05","1.737878e+05","2.152247e+05","1.330755e+05","1.782926e+05","1.882091e+05","2.289643e+05","2.008587e+05","1.941846e+05","1.687938e+05","1.608501e+05","2.262364e+05","2.128759e+05","1.225038e+05","2.136080e+05"
"4599_274.2738_9.6754_-1_N/A_Xanthotoxol_no matches_no matches_no matches_no matches","3.939813e+06","3.529795e+06","3.094470e+05","1.986496e+06","1.751388e+06","2.753357e+06","3.378313e+06","3.102997e+06","2.272260e+06","1.596391e+06","1.920609e+06","4.201291e+06","3.900318e+05","3.412755e+05","2.928594e+05","2.432984e+06","2.439384e+06","3.823834e+06","2.938586e+06","2.291929e+06","2.820451e+06","2.588705e+06","3.154221e+06","4.226172e+06"
"4608_274.2739_5.6438_6239_N/A_Massbank:NA002252 Zearalenone|(4S,12E)-16,18-dihydroxy-4-methyl-3-oxabicyclo[12.4.0]octadeca-1(14),12,15,17-tetraene-2,8-dione_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"4620_275.1163_7.5933_4202_N/A_NA_no matches_no matches_no matches_no matches","1.508745e+05","1.408138e+05","3.893611e+05","3.753234e+05","2.516274e+05","2.503919e+05","1.772870e+05","2.687091e+05","1.442971e+05","2.232363e+05","1.990425e+05","2.507450e+05","1.685665e+05","1.620313e+05","4.676004e+05","3.601232e+05","3.754353e+05","3.562081e+05","3.199578e+05","2.465042e+05","2.438478e+05","2.295820e+05","1.571537e+05","1.561154e+05"
"4626_275.1276_6.3929_203_N/A_NA_no matches_no matches_no matches_no matches","4.311637e+05","2.215756e+05","1.045831e+05","1.606271e+05","1.464242e+05","1.231834e+05","4.352285e+05","1.889737e+05","4.608782e+05","1.546448e+05","4.573690e+05","1.200015e+05","1.771828e+05","1.675447e+05","4.307656e+05","1.088605e+05","1.549832e+05","1.767378e+05","6.254030e+05","1.557470e+05","1.865341e+05","1.560891e+05","1.842371e+05","1.131667e+05"
"4631_275.1388_4.4233_3047_N/A_DETHIOBIOTIN_no matches_no matches_no matches_no matches","4.421542e+05","1.871936e+05","1.765783e+05","1.632788e+05","1.656913e+05","3.476398e+05","1.564723e+05","1.645135e+05","3.506406e+05","1.909224e+05","1.141293e+05","2.497791e+05","2.885047e+05","1.498548e+05","1.242245e+05","3.297562e+05","2.169793e+05","3.501890e+05","3.720463e+05","3.304015e+05","2.856198e+05","1.664286e+05","1.830749e+05","1.830335e+05"
"4632_275.1388_4.8843_1301_N/A_NA_no matches_no matches_no matches_no matches","2.830428e+05","2.122908e+05","2.528292e+05","3.544102e+05","3.142190e+05","2.569612e+05","2.990274e+05","2.559201e+05","2.722620e+05","2.949455e+05","3.182874e+05","3.513740e+05","2.791899e+05","3.495705e+05","2.745457e+05","3.156163e+05","2.123518e+05","3.231722e+05","3.626333e+05","3.244908e+05","2.759489e+05","2.811081e+05","2.573454e+05","3.017493e+05"
"4748_277.1433_6.5207_4753_N/A_NA_no matches_no matches_no matches_no matches","2.667388e+05","6.041979e+05","2.115719e+05","3.148618e+05","3.092098e+05","3.587785e+05","1.824358e+05","2.926241e+05","2.662794e+05","2.468608e+05","2.399248e+05","2.511093e+05","3.713815e+05","2.394646e+05","1.724190e+05","1.655460e+05","3.651249e+05","3.304036e+05","2.830162e+05","2.002960e+05","2.374460e+05","3.068302e+05","2.395481e+05","1.451094e+05"
"4751_277.1433_7.4595_6447_N/A_Artemisinin_no matches_no matches_no matches_no matches","1.795464e+05","1.716451e+05","1.683144e+05","1.254416e+05","1.256064e+05","1.505398e+05","1.359288e+05","2.066738e+05","3.274615e+05","1.584503e+05","1.402549e+05","1.203942e+05","2.030903e+05","1.658823e+05","8.354823e+04","1.438544e+05","1.647271e+05","1.385646e+05","2.445598e+05","1.453508e+05","1.069080e+05","2.114194e+05","1.687168e+05","2.963056e+05"
"4760_277.1544_4.1516_355_N/A_NA_no matches_no matches_no matches_no matches","2.808816e+05","1.979087e+05","2.567836e+05","1.711882e+05","4.012687e+05","2.495433e+05","2.356248e+05","2.016733e+05","1.954462e+05","1.190015e+05","1.374772e+05","3.270727e+05","1.496801e+05","4.146325e+05","2.474918e+05","2.316334e+05","1.775922e+05","4.630933e+05","8.235769e+04","2.517700e+05","3.991297e+05","2.933962e+05","3.258450e+05","3.550483e+05"
"4858_278.2112_4.1842_1410_N/A_2-[2-(4-methyl-2-oxo-2h-chromen-7-yloxy)-acetyl]-2,3,4,9-tetrahydro-1h-beta-carboline-3-carboxylic acid methyl ester_no matches_no matches_no matches_no matches","3.077247e+05","2.556169e+05","2.712588e+05","1.882261e+05","1.853670e+05","1.294117e+05","2.471587e+05","1.820404e+05","1.346631e+05","2.042144e+05","1.934086e+05","2.114552e+05","2.678283e+05","2.474982e+05","3.176156e+05","2.031296e+05","3.499832e+05","2.061789e+05","2.719897e+05","1.166585e+05","3.054684e+05","1.580833e+05","2.425163e+05","1.337025e+05"
"4879_279.1225_7.4989_-1_N/A_NA_no matches_no matches_no matches_no matches","1.205897e+05","2.067925e+05","1.733562e+05","1.927363e+05","1.172773e+05","4.213837e+05","2.747669e+05","2.113922e+05","1.663891e+05","1.909250e+05","2.726498e+05","1.635115e+05","2.075431e+05","1.573454e+05","1.138601e+05","1.034470e+05","2.043619e+05","2.453585e+05","7.819503e+04","4.504143e+05","3.394866e+05","1.073973e+05","2.197610e+05","2.201388e+05"
"4889_279.1337_4.1584_22_N/A_NA_no matches_no matches_no matches_no matches","1.116354e+05","2.913443e+05","2.322995e+05","1.566856e+05","4.337439e+05","3.044799e+05","2.104872e+05","3.896649e+05","1.943248e+05","4.797050e+05","1.689129e+05","2.384415e+05","1.962163e+05","2.331213e+05","3.443267e+05","2.161251e+05","4.581372e+05","2.839013e+05","2.387511e+05","2.533968e+05","2.629000e+05","3.425776e+05","3.632208e+05","2.711339e+05"
"4896_279.1338_3.2404_2119_N/A_NA_no matches_no matches_no matches_no matches","3.674679e+05","1.056910e+05","3.213140e+05","2.236073e+05","2.742969e+05","1.338879e+05","1.856049e+05","3.844662e+05","2.558513e+05","2.592001e+05","3.677806e+05","2.972394e+05","2.046225e+05","1.843525e+05","3.711896e+05","3.743542e+05","3.894279e+05","3.716098e+05","1.678937e+05","1.603714e+05","2.879391e+05","4.348525e+05","1.278905e+05","1.936869e+05"
"4900_279.1338_3.0738_2119_N/A_NA_no matches_no matches_no matches_no matches","1.454503e+05","2.230442e+05","1.125333e+05","1.620539e+05","2.361390e+05","5.091843e+04","3.971467e+05","1.827658e+05","3.029813e+05","1.583936e+05","1.930370e+05","2.539472e+05","1.161383e+05","2.659976e+05","2.914258e+05","1.285690e+06","2.204585e+05","3.926176e+05","1.009465e+06","3.666019e+05","1.726329e+05","2.593761e+05","1.251053e+05","4.565507e+05"
"4908_279.1589_7.69_6416_N/A_NA_no matches_no matches_no matches_no matches","1.537330e+05","1.777677e+05","1.406321e+05","1.694708e+05","2.223401e+05","2.047366e+05","2.120859e+05","1.591811e+05","2.154725e+05","1.219201e+05","1.384779e+05","3.468599e+05","1.191018e+05","2.208209e+05","1.722208e+05","2.145471e+05","3.967817e+05","1.590822e+05","1.848758e+05","4.602979e+05","4.826094e+05","2.729418e+05","2.798664e+05","2.411791e+05"
"4917_279.1701_4.8603_3255_N/A_NA_no matches_no matches_no matches_no matches","2.216807e+05","2.087402e+05","2.214757e+05","3.154748e+05","1.363495e+05","2.531402e+05","1.348793e+05","2.057671e+05","5.860093e+04","1.608032e+05","2.228507e+05","2.662916e+05","2.782688e+05","1.398096e+05","3.531232e+05","4.344360e+05","4.039142e+05","4.532692e+05","4.523438e+05","2.061890e+05","2.354772e+05","1.798709e+05","1.877135e+05","2.741054e+05"
"4977_280.1178_3.3917_2498_N/A_NA_no matches_no matches_no matches_no matches","1.867234e+05","3.107561e+05","2.595411e+05","2.808978e+05","2.002321e+05","1.902081e+05","1.779499e+05","2.776068e+05","1.599179e+05","2.212395e+05","3.009945e+05","3.125285e+05","1.178207e+05","2.176945e+05","2.495835e+05","4.108630e+05","2.315404e+05","3.803370e+05","4.143622e+05","2.517828e+05","7.518595e+04","2.474537e+05","4.439771e+05","2.419331e+05"
"5013_280.1905_3.1414_2498_N/A_NA_no matches_no matches_no matches_no matches","1.350835e+05","2.010399e+05","1.063286e+05","2.444046e+05","2.125924e+05","3.049418e+05","2.140855e+05","1.689804e+05","1.467342e+05","1.912292e+05","3.202729e+05","1.939431e+05","1.922715e+05","1.517988e+05","1.542453e+05","1.971061e+05","1.712245e+05","1.239295e+05","2.359646e+05","2.578258e+05","1.224452e+05","1.001429e+05","1.354837e+05","2.567891e+05"
"5053_281.1382_7.6565_908_N/A_Artemisinin_no matches_no matches_no matches_no matches","2.151397e+05","4.708369e+05","2.102337e+05","1.737766e+05","1.998366e+05","3.591344e+05","2.351947e+05","1.855533e+05","3.373527e+05","1.355920e+05","1.875797e+05","4.325356e+05","3.613608e+05","4.136704e+05","1.279311e+05","1.140147e+05","2.097878e+05","1.480715e+05","1.353999e+05","1.781906e+05","4.468021e+05","3.012371e+05","1.660754e+05","1.308036e+05"
"5063_281.1494_4.1231_3656_N/A_NA_no matches_no matches_no matches_no matches","3.116218e+05","1.356116e+05","1.729892e+05","2.034530e+05","3.552686e+05","4.704524e+05","1.725971e+05","1.028719e+05","2.294986e+05","4.258088e+05","9.360050e+04","1.407313e+05","3.185008e+05","2.083781e+05","2.330246e+05","2.954358e+05","1.296968e+05","1.237693e+05","1.775776e+05","1.226881e+05","2.030649e+05","2.391838e+05","3.090082e+05","2.503906e+05"
"5065_281.1494_4.3784_3656_N/A_NA_no matches_no matches_no matches_no matches","3.269066e+05","2.955196e+05","3.820352e+05","1.774408e+05","3.703955e+05","3.883326e+05","1.645644e+05","3.837059e+05","5.471518e+05","3.833505e+05","3.978058e+05","2.574392e+05","2.997915e+05","4.179607e+05","4.144793e+05","2.755989e+05","3.757339e+05","3.985307e+05","3.199679e+05","3.116161e+05","2.445795e+05","2.821618e+05","4.342682e+05","2.196562e+05"
"5068_281.1494_3.0139_298_N/A_NA_no matches_no matches_no matches_no matches","5.727161e+05","2.524850e+05","1.509830e+05","2.446171e+05","4.863991e+05","1.379361e+05","1.688706e+05","2.447971e+05","1.848539e+05","2.909343e+05","2.975246e+05","3.304930e+05","1.391246e+05","1.742329e+05","2.268494e+05","2.206374e+05","2.559106e+05","3.206540e+05","2.038337e+05","2.542766e+05","1.367314e+05","2.001856e+05","3.651216e+05","3.225072e+05"
"5070_281.1494_2.7346_298_N/A_NA_no matches_no matches_no matches_no matches","4.084807e+05","4.460263e+05","2.144497e+05","3.056411e+05","2.879646e+05","2.312684e+05","3.573313e+05","3.162104e+05","1.886942e+05","3.245431e+05","6.613685e+05","3.582107e+05","2.708517e+05","3.074630e+05","1.901475e+05","4.455968e+05","3.334853e+05","3.783389e+05","3.538304e+05","2.674048e+05","2.546241e+05","2.850623e+05","3.323976e+05","3.551844e+05"
"5074_281.1592_4.3972_296_N/A_NA_no matches_no matches_no matches_no matches","1.160382e+05","1.634707e+05","2.673636e+05","1.838635e+04","1.817593e+05","2.543835e+05","1.423637e+05","2.528501e+05","2.909546e+05","2.042611e+05","1.847443e+05","1.829048e+05","2.020324e+05","3.280358e+05","1.696515e+04","1.432484e+05","5.548782e+04","2.246993e+04","2.346323e+05","3.744982e+05","2.724212e+05","2.667324e+05","3.200699e+05","1.957265e+05"
"5094_281.1818_4.8879_4164_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"5124_281.2109_11.1767_2244_N/A_Spectral Match to Eicosapentaenoic acid ethyl ester from NIST14_no matches_no matches_no matches_no matches","2.665641e+05","1.751415e+05","2.580661e+05","1.515592e+05","2.902652e+05","1.987470e+05","1.328258e+05","4.246569e+05","2.732096e+05","2.074630e+05","2.417355e+05","5.409651e+05","4.372891e+05","1.677950e+05","3.787889e+05","2.961959e+05","2.972001e+05","3.951981e+05","3.634728e+05","3.430903e+05","2.842160e+05","1.718710e+05","2.816557e+05","2.704744e+05"
"5134_281.2472_14.6794_8_MoNA:790536 Linoleic acid_NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585]_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Lineolic acids and derivatives","0.000000e+00","1.332476e+03","1.095003e+03","0.000000e+00","3.441105e+03","2.123102e+03","0.000000e+00","1.820966e+04","1.157790e+03","0.000000e+00","0.000000e+00","9.805516e+04","0.000000e+00","1.048294e+03","0.000000e+00","4.382420e+03","0.000000e+00","1.296601e+04","2.296065e+03","4.245710e+04","4.180696e+03","0.000000e+00","0.000000e+00","0.000000e+00"
"5135_281.2472_14.7621_8_Massbank:EQ331603 Linoleic acid|(9Z,12Z)-octadeca-9,12-dienoic acid_NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585]_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Lineolic acids and derivatives","0.000000e+00","1.874351e+03","3.559861e+03","0.000000e+00","3.441105e+03","2.123102e+03","0.000000e+00","1.438185e+04","1.213716e+03","0.000000e+00","0.000000e+00","5.963488e+04","0.000000e+00","1.048294e+03","0.000000e+00","4.382420e+03","0.000000e+00","1.296601e+04","2.296065e+03","1.605744e+04","0.000000e+00","0.000000e+00","0.000000e+00","1.083486e+03"
"5151_282.1334_5.1283_5817_N/A_NA_no matches_no matches_no matches_no matches","1.704885e+05","1.962768e+05","1.244127e+05","1.849231e+05","1.280086e+05","1.679573e+05","8.770781e+04","1.326159e+05","1.186386e+05","1.554696e+05","2.195322e+05","1.917759e+05","1.656826e+05","2.616801e+05","1.142070e+05","1.143527e+05","1.248005e+05","1.936530e+05","2.092464e+05","1.459788e+05","1.562146e+05","2.038965e+05","3.863949e+05","2.006164e+05"
"5166_282.1909_1.5221_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.793845e+03","0.000000e+00","0.000000e+00","1.085172e+03","0.000000e+00","0.000000e+00","1.172318e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.839419e+03","0.000000e+00","0.000000e+00","0.000000e+00"
"5167_282.1909_1.8517_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","1.265033e+03","0.000000e+00","0.000000e+00","1.587849e+03","1.533511e+03","1.342906e+03","0.000000e+00","1.253727e+03","1.239292e+03","0.000000e+00","1.023221e+03","1.509425e+03","0.000000e+00","1.061701e+03","2.452484e+03","0.000000e+00","0.000000e+00","9.124643e+02","0.000000e+00","1.032525e+03","0.000000e+00","1.142953e+03","0.000000e+00"
"5174_282.2062_3.7191_2498_N/A_NA_no matches_no matches_no matches_no matches","2.457065e+05","1.973488e+05","1.430006e+05","1.881945e+05","7.239972e+04","2.240222e+05","1.783543e+05","1.703907e+05","1.511578e+05","3.111488e+05","1.154803e+05","3.041584e+05","1.311633e+05","2.761808e+05","1.350336e+05","1.766903e+05","1.163299e+05","1.780898e+05","1.414821e+05","1.810609e+05","2.090443e+05","2.336644e+05","2.221831e+05","1.672409e+05"
"5223_283.1538_7.4936_-1_Artemisinin_Parthenolide [M+H]+_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Terpene lactones","2.432710e+05","2.130471e+05","2.614704e+05","1.187602e+05","2.637895e+05","2.519223e+05","2.561796e+05","4.329430e+05","4.166284e+05","2.119959e+05","3.270612e+05","2.380122e+05","1.438691e+05","2.406353e+05","3.138809e+05","3.100748e+05","1.644483e+05","1.474228e+05","3.283290e+05","3.090478e+05","1.360684e+05","1.592870e+05","3.423359e+05","3.143474e+05"
"5237_283.1691_10.2686_-1_N/A_NA_no matches_no matches_no matches_no matches","1.087715e+05","1.264587e+05","1.485864e+05","9.479369e+04","2.007815e+05","2.097164e+05","3.382091e+05","3.069175e+05","1.409309e+05","2.453472e+05","2.539773e+05","3.021885e+05","1.340916e+05","2.492762e+05","1.042592e+05","1.178054e+05","1.291626e+05","2.444549e+05","2.674358e+05","2.030737e+05","1.792437e+05","2.769433e+05","3.213034e+05","2.148869e+05"
"5291_284.1126_4.2636_1926_N/A_NA_no matches_no matches_no matches_no matches","4.541078e+05","2.258025e+05","2.840720e+05","2.578438e+05","1.906314e+05","2.175344e+05","1.446302e+05","3.175868e+05","1.118026e+05","3.005043e+05","1.375492e+05","1.185321e+05","3.136214e+05","1.300581e+05","1.056716e+05","2.218220e+05","1.869950e+05","2.393442e+05","2.162682e+05","2.090888e+05","1.895489e+05","2.469982e+05","4.750129e+04","1.581448e+05"
"5293_284.1127_3.6609_8993_N/A_NA_no matches_no matches_no matches_no matches","2.764211e+05","1.653695e+05","1.050656e+05","1.820442e+05","2.036487e+05","2.646458e+05","1.381881e+05","1.726068e+05","3.520492e+05","1.391462e+05","1.767886e+05","3.745784e+05","1.633444e+05","2.444893e+05","1.720534e+05","4.851243e+05","2.244034e+05","1.707750e+05","1.995843e+05","1.625545e+05","1.311250e+05","1.730783e+05","2.514679e+05","1.701617e+05"
"5301_284.1603_4.112_8068_N/A_Massbank:CE000302 Glutamine_no matches_no matches_no matches_no matches","1.631063e+05","1.604810e+05","2.121215e+05","1.860369e+05","2.698055e+05","1.987371e+05","2.166386e+05","1.486929e+05","3.068185e+05","1.601336e+05","2.290977e+05","3.641293e+05","2.253770e+05","1.518633e+05","1.845658e+05","2.069127e+05","1.855035e+05","1.798506e+05","3.893684e+05","1.800450e+05","3.251329e+05","1.531067e+05","1.482923e+05","1.810521e+05"
"5318_284.2065_4.2322_4322_N/A_NA_no matches_no matches_no matches_no matches","3.835355e+05","2.956456e+05","3.774233e+05","2.437859e+05","3.382339e+05","2.829404e+05","2.563822e+05","2.934246e+05","2.890932e+05","2.815106e+05","2.947472e+05","3.222809e+05","3.201252e+05","3.855228e+05","3.072106e+05","3.595683e+05","2.802980e+05","3.145269e+05","3.488061e+05","2.960266e+05","2.985175e+05","3.175069e+05","2.735078e+05","3.333441e+05"
"5411_285.221_12.0385_114_Spectral Match to Retinal, 9-cis- from NIST14_Dehydroepiandrosterone_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Diterpenoids","4.459714e+05","3.265814e+05","1.098792e+05","6.416972e+04","1.537811e+05","3.130846e+05","3.553344e+05","2.717382e+05","1.149866e+05","4.640477e+04","1.064900e+05","2.216822e+05","1.510295e+05","1.158663e+05","1.151191e+05","1.052201e+05","1.622296e+05","2.730050e+05","2.000598e+05","1.090083e+05","4.647092e+05","2.004879e+05","3.113845e+05","1.956209e+05"
"5436_286.0805_3.6577_1208_N/A_Massbank:AU269901 Crotamiton|(E)-N-ethyl-N-(2-methylphenyl)but-2-enamide_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.390626e+06","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.918585e+03","1.702411e+04","0.000000e+00","0.000000e+00"
"5437_286.0808_3.9183_1208_N/A_Massbank:NA000888 (+)-Lupanine_no matches_no matches_no matches_no matches","2.825883e+03","2.488413e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.599823e+03","0.000000e+00","3.571367e+03","2.624178e+03","0.000000e+00","0.000000e+00","3.037135e+06","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.776203e+04","8.452691e+04","0.000000e+00","0.000000e+00"
