Sample_Name,PictureNr,Magnification,ID,Area,Circularity,Diameter,Ellipse Major,Ellipse Minor,Perimeter,Radius,Feret Maximum,Feret Minimum,width,Volume,log(Dry Weight),Dry Weight,log(Wet Weight),Wet Weight
CU18_522,01,100x,1,0.71672902494331,0.70633653947792,0.95528411345385,0.67055845805113,0.34325466228268,3.5148252910326,0.47764205672692,1.3524489532425,0.73256970252081,0.5840817590836986,0.3102086087878098,6.662494025438203,782.5000806162012,8.85986526146427,7043.533645216946
CU18_522,01,100x,2,0.38985260770975,0.59731033269733,0.70453939333027,0.56729995389574,0.22296802805426,2.7724537879841,0.35226969666513003,1.1795198488342,0.50432552108925,0.3532173434683834,0.10404201678481569,6.027348573323527,414.61425142417085,7.824578174517349,2501.3307632131477
CU18_522,01,100x,3,0.20092403628118,0.79199611654276,0.50579089402736,0.29483358793831,0.21947754886581,1.7280857887628,0.25289544701368,0.63862799761602,0.46583899437946,0.35758653294593357,0.052165250636178495,5.625965870701827,277.5402230753519,7.170324369243977,1300.266300804359
CU18_522,01,100x,4,0.12895124716553,0.80256823432168,0.40519850349437,0.22990238996184,0.18097874548214,1.386226893992,0.20259925174718,0.5048773252742,0.38333333333333,0.29153872948105886,0.027215775156609414,5.247698543718483,190.12819282236592,6.553748626261127,701.8702979925844
CU18_522,01,100x,5,0.51580498866213,0.81097373622586,0.81039700698873,0.47834100774076,0.34537733090132,2.7857412541834,0.40519850349437,0.99928884350829,0.71190476190476,0.5912436048747522,0.2202467906137536,6.463368264050741,641.217212164813,8.535290270402708,5091.309117087553
CU18_522,01,100x,6,0.28489229024943,0.85886820949956,0.60227579225447,0.32708472529148,0.27954195678927,2.0699446835337,0.30113789612723,0.70124355004989,0.5879614139043,0.4754447091649239,0.09636056492633584,5.982756838030052,396.5320372869568,7.751893645988984,2325.972815988382
CU18_522,01,100x,7,0.28489229024943,0.84351629289646,0.60227579225447,0.32826163475689,0.27805736712308,2.0245784362261,0.30113789612723,0.71400611621428,0.54761904761905,0.4636045549521408,0.09444153891557583,5.971061469924103,391.9214628808855,7.7328301959762875,2282.0517233810037
CU18_522,01,100x,8,0.29988662131519,0.66263803322196,0.61792192483802,0.44200311094016,0.22315219467612,2.366437330997,0.30896096241901,0.93251804734703,0.47892653221029,0.3497367298342165,0.07838448985957563,5.862715578708624,351.677857393794,7.556226393295056,1912.6144236970358
CU18_522,01,100x,9,0.31488095238095,0.86181692515314,0.63318155410222,0.34143812871671,0.29662719849097,2.1794684930575,0.31659077705111,0.73470540624357,0.60238095238095,0.5022684187542916,0.11239864812406196,6.072265483162284,433.66202356038053,7.897792737554523,2691.335284038672
CU18_522,01,100x,10,0.29388888888889,0.87232388315302,0.61171149661553,0.32568441379178,0.28947720146883,2.1020234646418,0.30585574830777,0.70124355004989,0.60238095238095,0.49368351556875795,0.10273169863699808,6.019979908764395,411.5703266871971,7.812567251285962,2471.4671750869925
CU18_522,01,100x,11,0.18592970521542,0.82140664293226,0.48655221016991,0.28713209206416,0.20838145273532,1.6506407603472,0.24327610508496,0.59234024262698,0.43809523809524,0.3611417654586586,0.04834484688876173,5.581746719705872,265.5350161897389,7.098247153120571,1209.8445425682635
CU18_522,01,100x,12,0.12295351473923,0.76160063164861,0.39566308537715,0.23849694915387,0.16685744882093,1.386226893992,0.19783154268857,0.51951517492924,0.32857142857143,0.26586887641491197,0.023921782125147888,5.172694273770196,176.38943928297687,6.431491666245419,621.0997308651068
CU18_522,01,100x,13,0.074971655328798,0.74087228583505,0.30896096241901,0.17104373130907,0.145333012206,1.0897342465287,0.15448048120951,0.4170232418274,0.27380952380952,0.2004563197336437,0.01105225941787862,4.723767209468745,112.5916109102549,5.699740551434054,298.78987030651564
CU18_522,01,100x,14,0.57878117913832,0.73331397196757,0.85844457306652,0.60220727202031,0.30945910889261,3.1331039976636,0.42922228653326,1.1706371430006,0.60238095238095,0.5498371578214365,0.23444055587492985,6.499678362615545,664.9277330301812,8.594475731063337,5401.736371064645
CU18_522,01,100x,15,0.37485827664399,0.5752417688989,0.69085771436266,0.58454452363849,0.21485080408152,2.9594226259235,0.34542885718133,1.2009867010963,0.52316017836018,0.331796855703428,0.09427908891348402,5.970060543845709,391.5293747263704,7.731198686468504,2278.3315698551773
CU18_522,01,100x,16,0.35686507936508,0.76197472997641,0.67407323873795,0.41724801062556,0.27384468388866,2.2889923025813,0.33703661936898,0.88463988662566,0.54761904761905,0.45323391519624623,0.11835087077944662,6.102266520124446,446.8694617677334,7.946694427802846,2826.2172275904086
CU18_522,01,100x,17,0.63276077097506,0.79507308199861,0.89758344233979,0.55401869812147,0.36600214904695,3.1596789300624,0.4487917211699,1.1289319971486,0.77503486862416,0.637829906432287,0.2927842869621818,6.62888420751068,756.6374490796402,8.805081258242408,6668.0401039512535
CU18_522,01,100x,18,0.56078798185941,0.87081645646328,0.84499552348851,0.45800675887558,0.39108195038591,2.8952650637072,0.42249776174426,0.97034859322752,0.82142857142857,0.6802694855766647,0.2702630218685696,6.582349047037146,722.2338995591396,8.729228946670547,6180.960423253389
CU18_522,01,100x,19,0.66274943310658,0.61093148006218,0.91860698151174,0.69916241604768,0.3072127353686,3.611061634357,0.45930349075587,1.5036170364281,0.71074079646065,0.47265497155220565,0.23618074943994696,6.503977976952758,667.7928208167609,8.601484102432995,5439.72671531617
CU18_522,01,100x,20,0.41984126984127,0.89009030070305,0.73113508141364,0.37526021118044,0.3589776017131,2.5854849500446,0.36556754070682,0.82141674932998,0.75710015570011,0.6075548344403255,0.1794238838300067,6.344183600871041,569.1725280287991,8.341019269419796,4192.360709530222
CU18_522,01,100x,21,0.41384353741497,0.86845303290168,0.72589390214399,0.39142133854804,0.33815037804396,2.4305948932132,0.36294695107199,0.83584704600389,0.65714285714286,0.5821217511497507,0.17081327570305097,6.315590538343278,553.1286078144276,8.294412577499543,4001.452013069044
CU18_522,01,100x,22,0.095963718820862,0.81729227525136,0.34954942663745,0.19206976859626,0.16172117013485,1.1671792749444,0.17477471331872,0.42769207200685,0.32857142857143,0.2576969329111421,0.017826729088179175,5.001711445440754,148.66737760556808,6.152789656068428,470.02677260372707
CU18_522,01,100x,23,0.37785714285714,0.80920554916477,0.69361564035592,0.38108958366516,0.32672988798273,2.5854849500446,0.34680782017796,0.85715630728416,0.65714285714286,0.5045660292666374,0.13776050141831658,6.190558954352792,488.1188661420747,8.09061109559505,3263.681382276134
CU18_522,01,100x,24,0.37785714285714,0.77227999271628,0.69361564035592,0.4378737368407,0.2773349779178,2.4438823594126,0.34680782017796,0.8981401135569,0.60538678342361,0.4745105346855726,0.13085661256002387,6.160666793104401,473.74385868010904,8.041886872760173,3108.4729532170195
CU18_522,01,100x,25,0.62076530612245,0.83617525146106,0.88903483382527,0.50371324872466,0.39487227589967,3.1917577111705,0.44451741691264,1.0632159134964,0.83196754871009,0.6761283719140619,0.30082171539565555,6.644629361992811,768.6451057398609,8.830745860048282,6841.387630848036
