Feature_ID,Control...1,Control...2,Control...3,Coral...4,Coral...5,Coral...6,Coral_Dictyota...7,Coral_Dictyota...8,Coral_Dictyota...9,Coral_Turf...10,Coral_Turf...11,Coral_Turf...12,Dictyota...13,Dictyota...14,Dictyota...15,Turf...16,Turf...17,Turf...18,count
69_159.0652_2.8397_3518_N/A_NA_no matches_no matches_no matches_no matches,-694303.3,0,-737862,0,0,402817.60000000003,0,0,0,0,0,0,0,0,-392251.30000000005,0,-613702.5,-499559.00000000006,6
70_159.0652_5.5987_3518_N/A_2-Methyllactate - 40.0 eV_no matches_no matches_no matches_no matches,-2252846.7,-1610687.9,-2377402.06,-774728.6,0,-703912.6,-1217320.2,-913905.9,-1172413.2,-984824.8,-819948.8,-996743.7,-834331.3,-1044434.2,-923560.5,-823202.1,-1346123.53,-1260435.3,17
73_159.1379_6.2271_166_N/A_Spectral Match to Tri(propylene glycol) butyl ether from NIST14_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Alcohols and polyols,0,0,0,-110701.41999999998,-107406.57999999999,0,0,99637.66,0,0,0,475446.54000000004,0,-35001.25,0,0,0,0,5
"75_161.0808_6.3216_212_N/A_2-methoxy-1-(2,4,6-trihydroxyphenyl)ethan-1-one_no matches_no matches_no matches_no matches",379525.39999999997,1081830.2,624902,0,0,1071783.9,468327.70000000007,0,861978.9,572267.3,0,3183170.7,0,0,0,445331.00000000006,0,-156009,10
"76_161.0808_6.5014_212_N/A_2-methoxy-1-(2,4,6-trihydroxyphenyl)ethan-1-one_no matches_no matches_no matches_no matches",44913.28,57460.229999999996,83516.92,0,0,166277.57,58596.34,0,69483.22,62543.35,0,247299.44999999998,0,0,-41529.597,69361.18,0,-20188.23,11
"82_161.096_9.0864_3041_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Spectral Match to .gamma.-Tocotrienol from NIST14_no matches_no matches_no matches_no matches",-132645.01,0,0,0,202358.40000000002,0,0,0,0,0,0,234051.60000000003,0,0,0,0,0,-184711.23,4
"90_163.0388_8.6263_573_Massbank:LU019401 4-Methylphthalic anhydride|5-methyl-2-benzofuran-1,3-dione_MoNA:935504 Dimethyl benzene-1,2-dicarboxylate_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",0,0,0,0,0,0,0,-588913.1,0,1037812.2,772746.2,0,0,1030429.4,0,0,-379923.69999999995,-451369.99999999994,6
"91_163.0389_7.9667_573_N/A_4-(2H-benzo[3,4-d]1,3-dioxolan-5-ylmethylene)-3-phenylisoxazol-5-one_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",0,708248.4,-202586.69999999998,0,-1055588,0,1032741.2,0,0,-601876.2,-794263.7,-614812.4,0,0,0,602962.8,200821.5,268567.8,10
"94_163.0389_8.1804_573_Massbank:LU019401 4-Methylphthalic anhydride|5-methyl-2-benzofuran-1,3-dione_TRANS-CINNAMALDEHYDE_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",-536870,0,0,0,-503461.6,0,0,-458933.60000000003,0,-154914.50000000003,0,448552.79999999993,0,0,-329308,0,236558.12,94334.12000000001,8
"95_163.0389_8.3471_573_Massbank:LU019403 4-Methylphthalic anhydride|5-methyl-2-benzofuran-1,3-dione_TRANS-CINNAMALDEHYDE_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",0,319996.99,132144.19,0,0,0,152206.7,0,0,0,0,0,0,-138097.6,-161899.98,-96124.85,-110402.58000000002,0,7
"100_163.0753_7.727_573_N/A_Massbank:EQ367304 Dimethyl-phthalate|Dimethyl phthalate|Dimethyl benzene-1,2-dicarboxylate_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",0,0,0,0,0,0,325771.49999999994,0,0,466009.39999999997,0,-189758.5,0,0,0,0,0,-216490.5,4
"122_163.1116_8.7532_573_N/A_MoNA:935504 Dimethyl benzene-1,2-dicarboxylate_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",-48118.54,0,0,0,0,0,0,0,0,-63261.14,-77221.85,0,0,97131.41,47811.899999999994,0,-89787.51,-91299.16999999998,7
124_163.1117_10.288_6122_N/A_myrcene_no matches_no matches_no matches_no matches,102440.67000000001,0,256197.06999999998,110433.47,0,86477.77000000002,191843.98,67070.28,149039.88,135930.41999999998,0,168328.72,153299.76,95905.66,94008.56,136382.72000000003,0,0,13
125_163.1117_8.2918_573_N/A_myrcene_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives,0,0,0,0,0,0,-106776.47,0,0,0,-194350.61000000002,0,0,0,0,0,-140411.3,-163479.15000000002,4
"126_163.1328_5.2065_70_N/A_9-(2,3-dihydroxy-3-methylbutyl)-4-methoxyfuro[3,2-g]chromen-7-one_no matches_no matches_no matches_no matches",0,0,0,0,9264769,0,0,-5474179,-6956315,0,9765028,-1307470,-7179044,14161435,-7886513,0,0,0,8
127_163.1328_5.5064_3759_Massbank: Diethylene glycol monobutyl ether|2-(2-butoxyethoxy)ethanol_Massbank: Diethylene glycol monobutyl ether|2-(2-butoxyethoxy)ethanol_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Ethers,-18761642,0,-20073132,0,0,0,0,-15830627,0,0,0,0,0,0,-19478435,0,-14938026,-15766498,6
"137_164.107_3.4952_1332_Massbank:LU109201 2,2-Dimethyl-2,3-dihydro-1-benzofuran-7-amine|2,2-dimethyl-3H-1-benzofuran-7-amine_Isovaleric acid_Organic compounds_Organoheterocyclic compounds_Coumarans_NA",0,-718563.4,0,0,0,-579631,853238.3,1065380.3,0,-1176659.9,-1049546.5,-1115750.8,0,0,0,-346382.7,0,0,8
"138_164.107_3.6573_1332_N/A_1,4-dimethylhydroquinolin-2-one_Organic compounds_Organoheterocyclic compounds_Coumarans_NA",0,0,0,0,170542.7,0,0,0,-77419.11000000002,0,0,0,-212417.8,0,0,0,0,0,3
144_164.557_5.4191_-1_N/A_NA_no matches_no matches_no matches_no matches,0,0,-6617.101,0,0,31889.24,0,9056.932,0,0,-2825.039,0,7258.976,6987.166,0,0,-10161.724999999999,-17446.41,8
"149_165.091_6.2941_4276_(1s,4r)-7,7-dimethyl-2-oxobicyclo[2.2.1]heptane-1-carboxylic acid_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",0,393350.69999999995,0,181981.07,105651.77,614656.47,-287222.10000000003,0,0,-216602.3,0,-209985.99999999997,0,0,0,0,0,-359136.8,8
153_165.1122_2.3349_2187_N/A_2372_Tetraglyme_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Ethers,-582325.8999999999,-362822.49999999994,-642046.8899999999,-133647.81,-95315.44,585108,0,0,0,-179100.68,-183606.34,272873.9,-270891.9,0,-371065.56,0,-437455.80000000005,-487998.14,13
154_165.1273_10.6871_-1_N/A_5-Allyloxypsoralen_no matches_no matches_no matches_no matches,0,0,51644.28,0,0,85021.74000000002,-223642.99,-162661.69999999998,0,0,0,0,0,-140587.39,-132452.95,0,-574035.9,-354113.10000000003,8
156_165.1386_6.6471_-1_N/A_magnolol_no matches_no matches_no matches_no matches,31373.18,0,28576.93,0,2949.852,0,0,0,0,0,0,0,0,0,174816.2,0,0,0,4
"159_166.0863_1.5165_1423_DL-PHENYLALANINE_DL-PHENYLALANINE_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",-168991.94,-156902.5,-180636.3,0,-106138.91,0,-336048.01999999996,-319504.52999999997,-249064.8,0,0,-232228.31999999998,-365130.41000000003,-232267.3,-332609.4,-220107.61000000004,0,-273079.97000000003,13
173_167.0702_6.8538_32_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,0,299666,0,0,0,0,0,0,0,0,0,0,-247819.8,0,-321885.32,337829,0,-143814.76,5
174_167.0702_6.4747_32_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,0,0,0,95014.71,0,0,66624.21,0,85818.91,99139.73999999999,125702.94,76425.13999999998,239999.93999999997,133634.63999999998,0,0,-143280.32,0,9
"175_167.0703_7.4011_2282_2,3-dimethoxybenzaldehyde_(S)-(-)-Perillic acid_Organic compounds_Benzenoids_Benzene and substituted derivatives_Methoxybenzenes",-156079.4,0,0,0,0,0,-188619.59999999998,0,0,0,0,-158247.05,-154538.60000000003,-213800.87000000002,-152602.30000000002,-203574.78999999998,0,-204601.27,8
177_167.0703_10.3525_682_N/A_Massbank:LU079503 6-Pentyl-2H-pyran-2-one|6-pentylpyran-2-one_Organic compounds_Organoheterocyclic compounds_Pyrans_Pyranones and derivatives,0,0,0,0,0,0,0,0,0,0,-58631.86,0,0,0,139195.88,0,-72330.6,-80298.95000000001,4
178_167.0831_5.2765_2473_N/A_3-amino-1-(2-amino-1H-imidazol-4-yl)-2-chloropropan-1-ol_Organic compounds_Organic acids and derivatives_Organic phosphoric acids and derivatives_Phosphate esters,-38815.887,0,-45331.3,0,0,38842.6,-21366,0,0,0,0,0,0,0,-22120.418,0,-50828.16,-56192.672000000006,7
"180_167.1066_9.2652_-1_Massbank:LU129002 4-tert-Butylcatechol|4-tert-butylbenzene-1,2-diol_Massbank:LU129002 4-tert-Butylcatechol|4-tert-butylbenzene-1,2-diol_Organic compounds_Benzenoids_Benzene and substituted derivatives_Phenylpropanes",0,213254.90000000002,443509.89999999997,-661344.5,-601072.6000000001,0,0,0,0,0,0,7951847.1,-394669.39999999997,-511987.99999999994,683802.8,0,0,0,8
"185_167.1066_9.7177_32_N/A_NCGC00168939-02!8-hydroxy-3-(4-oxopentyl)-3,4-dihydroisochromen-1-one [IIN-based on: CCMSLIB00000847794]_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",-915824.4,0,-1129670.36,-840614.7,-1052460.6,-855318.3,-718282.2000000001,-672442.2000000001,-554466.8,-608760,-560246.9,-428682.80000000005,-241532.3,-319491.05,-312416.8,0,0,-546320.5499999999,15
"188_167.1066_8.074_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",0,0,0,0,0,0,-329403.89999999997,-450805.89999999997,-401842.69999999995,-310508.9,0,0,0,0,0,0,0,0,4
"189_167.1066_9.4118_32_(S)-(-)-Perillic acid_""3,4 DIHYDROXYMANDELATE""_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",0,0,324254.9,-312291.09,-280076,-288975.5,0,0,0,-109445.92000000001,-109607.29000000001,0,0,-133992.32,-186797.18,0,-121998.53,0,9
"190_167.1066_8.3717_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",0,0,0,-599441.2000000001,-581883.1000000001,0,0,531405.7,0,212992.4,0,785441.8,0,-306873.2,0,0,0,-332687.2,7
"191_167.1066_8.2143_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",0,0,0,0,0,0,591648.1,1118753,0,0,0,0,299727.2,0,0,0,-209439.30000000002,0,4
"195_167.1067_4.7501_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",-609756.2,0,-686127.2,-706945.3,-583926.7,-855514.9,0,0,-387863.49999999994,-8674745.8,-8742856,-8823743.4,0,0,0,-646855.5,-508691.4,0,11
201_168.5652_6.5035_-1_N/A_NA_no matches_no matches_no matches_no matches,0,6772.074,6415.598,-2002.829,-2002.829,4060.1100000000006,0,0,4931.127,0,0,15755.85,0,0,0,-2574.006,-2574.006,-2574.006,10
"203_169.076_4.3917_-1_9H-Pyrido[3,4-B]indole_MassbankEU:SM812005 Benzimidazole|1H-Benzimidazole_Organic compounds_Organoheterocyclic compounds_Indoles and derivatives_Pyridoindoles",0,0,0,-131847.21999999997,0,-117178.77999999998,0,0,0,-142818.09999999998,-148164.4,0,0,0,0,-153777,0,0,5
204_169.0858_5.225_6845_N/A_NA_no matches_no matches_no matches_no matches,-335227,-327739,-490271.02,0,0,256960.2,-262937.1,-279493.14999999997,0,0,-294343.01999999996,-231417.69999999998,0,0,0,0,-521191.4600000001,-549144.39,10
208_169.0859_4.6185_32_N/A_ADIPATE_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,0,0,0,0,0,0,0,0,0,-2329495.6,-2779333.8,-1896973,0,0,0,0,-817105.6,-666666.8,5
209_169.0859_5.8545_32_N/A_ADIPATE_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,-408264.1,0,-560770.7,-385460.7,-420640.9,0,0,0,0,-857001.6,-1214874.4,-878872.3,0,0,0,0,-513428,-533340,9
214_169.1222_8.6065_5359_N/A_MoNA:2755679 Nordicol_no matches_no matches_no matches_no matches,-320504,0,-401135.8,-326680.89999999997,0,0,-342654.5,0,-486488.5,0,-261422.50000000003,-257436.50000000003,-323505.5,-333189.89999999997,-438448,-391923.20000000007,-492332.70000000007,-423997.20000000007,13
216_169.1223_9.8265_6004_Spectral Match to Perillaldehyde from NIST14_(-)-Myrtenal_Organic compounds_Organoheterocyclic compounds_Lactones_Delta valerolactones,0,0,-145592.12,-119915.16,0,0,0,0,-88495.87,0,-91374.13999999998,178932,-116776.93000000001,0,0,0,0,0,6
218_169.1223_7.1907_4528_N/A_5-oxopentadecanoic acid_no matches_no matches_no matches_no matches,0,0,-155145.18,0,0,-159113.8,0,0,0,0,0,0,0,0,-182073.4,0,-149322.69,0,4
219_169.1223_5.9626_-1_N/A_10-HYDROXYDECANOATE_no matches_no matches_no matches_no matches,0,0,0,0,0,73134.61,0,0,0,0,0,117209.31999999998,36254.259999999995,44568.770000000004,0,0,0,0,4
220_169.1223_7.3802_4528_N/A_5-oxopentadecanoic acid_no matches_no matches_no matches_no matches,-215906.12,-249039.91999999998,-201855.36,-78381.41,-65391.85999999999,-76143.48999999999,0,0,0,0,0,0,-51010.36,0,0,0,-111601.08000000002,-75451.00000000001,9
221_169.1223_7.259_4528_N/A_5-oxopentadecanoic acid_no matches_no matches_no matches_no matches,-218776.51,0,-227798.46000000002,-74998.31,0,0,-101621.45999999999,0,0,0,0,0,0,-91706.23,0,0,-198750.99999999997,-250382.33,7
223_169.1699_7.1204_-1_N/A_Spectral Match to L-Leucine from NIST14_no matches_no matches_no matches_no matches,-67129.73000000001,0,-83869.57,0,0,0,0,0,0,0,0,-38959.53,0,0,0,0,0,0,3
225_170.0812_1.0528_3600_N/A_Massbank:LU082005 Acetaminophen|N-(4-hydroxyphenyl)acetamide_no matches_no matches_no matches_no matches,127499.12,75432.51999999999,169462.52000000002,86177.6,95744.62,97410.22,109365.96,29593.87,95252.66,278369.5,50349.93000000001,319311.89999999997,0,26041.560000000005,0,0,0,0,13
231_170.1175_6.2355_2732_N/A_2-Amino-1-phenylethanol_no matches_no matches_no matches_no matches,-775194.8,-1043259.8,-907308,-976720.9,-861818.9,-723054.5,0,0,-664684,-1184750.5,-1071534.6,-907874,-772957,-831533.5,-1106611.8,0,0,0,13
234_170.1175_6.6343_2331_N/A_Massbank:LU119203 Ethyl 3-(N-butylacetamido)propionate|Ethyl butylacetylaminopropionate|ethyl 3-[acetyl(butyl)amino]propanoate_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Carboxylic acid derivatives,0,0,0,0,0,165948.10000000003,0,0,127815.90000000001,-364075.4,-388898.4,0,0,178326,0,0,0,0,5
"235_170.1175_6.3834_2732_N/A_Massbank:LU129002 4-tert-Butylcatechol|4-tert-butylbenzene-1,2-diol_no matches_no matches_no matches_no matches",0,-53894.95,-53286.93,0,0,0,-66319.44,0,0,-112190.66,-112310.21,-97488.64000000001,0,-42271.229999999996,-64575.99,0,0,-57190.91,9
238_170.1651_6.033_-1_N/A_Massbank:LU080702 Azacyclotridecan-2-one_no matches_no matches_no matches_no matches,0,2523.918,4748.343,0,6453.706,0,0,4051.394,0,-9969.606,0,-9969.606,3395.587,0,3810.8,0,-11980.645999999999,0,9
"239_171.0991_3.4642_250_N/A_Massbank:LU129002 4-tert-Butylcatechol|4-tert-butylbenzene-1,2-diol_Organic compounds_Benzenoids_Benzene and substituted derivatives_Cumenes",-516214.3,-623216.3,-821936.8,0,-349432.1,0,0,0,0,0,-458233.6,-380904.39999999997,-357385.30000000005,-455243.4,-555097.9,0,0,-466166.29999999993,10
240_171.0991_3.7545_250_N/A_zawadskinolide C_Organic compounds_Benzenoids_Benzene and substituted derivatives_Cumenes,0,0,-4010525,0,0,0,0,0,0,0,0,-3162809,0,0,-2798172,-2282496,0,0,4
241_171.0991_3.649_250_N/A_zawadskinolide C_Organic compounds_Benzenoids_Benzene and substituted derivatives_Cumenes,0,0,-6713188,0,0,0,0,0,0,0,-6443031,-6757277,0,0,-6636736,0,0,0,4
242_171.1015_8.8827_1059_azelaic acid_Octanedioic acid_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates,0,0,0,0,0,433718.20000000007,0,0,0,0,-274848.59,0,0,0,-270187.48,0,-446674.1,-483921.19999999995,5
243_171.1015_4.083_964_N/A_NA_no matches_no matches_no matches_no matches,-218401.60000000003,0,-195275.00000000003,0,0,0,-120191.46,0,0,-386714.2,-410453.69,-353004.2,0,0,-119496.95999999999,0,-354498.9,-325025,9
246_171.1015_4.8802_4247_N/A_Spectral Match to Jasmine lactone from NIST14_no matches_no matches_no matches_no matches,-253306.8,-296853.5,-237537.6,0,0,0,129376.94999999998,157249.75,149523.75,-621762.11,-606272.0399999999,-600625.7,0,0,-241699.94,0,0,-222685.22000000003,11
249_171.1379_8.7181_633_10-Hydroxydecanoic acid_Spectral Match to 4-Hydroxynonenal from NIST14_Organic compounds_Organic acids and derivatives_Hydroxy acids and derivatives_Medium-chain hydroxy acids and derivatives,0,0,-453571,0,0,0,0,-426910.3,0,0,-597579.3999999999,0,0,0,0,0,-595696.1,-754794.2,5
250_171.1379_9.0147_-1_10-Hydroxydecanoic acid_10-HYDROXYDECANOATE_Organic compounds_Organic acids and derivatives_Hydroxy acids and derivatives_Medium-chain hydroxy acids and derivatives,0,0,-63450.369999999995,0,0,175516.88,0,0,0,0,-102735.11,-105356.28,0,0,-117857.63,0,-229699.81,-175725.5,7
255_171.1379_8.2459_633_N/A_Spectral Match to 4-Hydroxynonenal from NIST14_Organic compounds_Organic acids and derivatives_Hydroxy acids and derivatives_Medium-chain hydroxy acids and derivatives,-482800.50000000006,0,-529422.7000000001,0,0,0,-261924.6,0,0,0,-386497.1,0,0,0,-265689.30000000005,0,-725712.6,-772710.8999999999,7
"257_171.1491_6.4682_6036_N/A_Pesticide3_Cycluron_C11H22N2O_3-Cyclooctyl-1,1-dimethylurea_no matches_no matches_no matches_no matches",-510252.80000000005,-608030.2000000001,-633687.5,-492219.15,0,-372542.4,0,0,0,-194194.39999999997,-171048.49999999997,0,0,0,0,-620192.2,-617703.1,-597896.1,10
258_172.0968_2.345_-1_N/A_NA_no matches_no matches_no matches_no matches,750828.6,401557.5,429087.19999999995,323254.83999999997,145370.53999999998,319495.74,288781.82,259678.32,445179.02,556252.6,184218.4,259810.00000000003,0,444914.4,0,301175.1,446379.60000000003,0,15
"266_172.1331_6.4798_1589_N/A_tranexamic acid - 40.0 eV_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",-7411630,-8411682.6,-8394202.2,-6134985.9,-4980297,-5680145.9,-2520846,0,-3177501.8,-3579266.5,-2937125,0,-2795655.6,-2935289.9,-2449540.9,-3004061.8,0,-2287591,15
267_172.1694_7.8352_-1_N/A_Massbank:EA070808 Propachlor|2-chloranyl-N-phenyl-N-propan-2-yl-ethanamide_no matches_no matches_no matches_no matches,0,0,0,0,-461877.00000000006,0,0,0,0,0,-308100.89999999997,824015.3,0,-355879,0,0,0,-313283,5
"271_172.1695_9.0887_4974_N/A_MoNA:701097 1-Butanamine, N,N-dibutyl-_no matches_no matches_no matches_no matches",0,0,-1211101,0,0,1603078,0,0,0,0,0,3843634,0,0,0,0,-1901619,0,4
274_173.0744_2.1259_906_N/A_Massbank:LU034801 Fensulfothion|diethoxy-(4-methylsulfinylphenoxy)-sulfanylidene-lambda5-phosphane_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA,330409.5,-191787.9,0,-122513.63999999998,237365.40000000002,-173165.87999999998,1473174.2,692830.6,-87245.34,0,0,0,0,0,0,-96153.481,122662.85999999999,567823.3600000001,11
276_173.0808_5.4314_1204_N/A_5-Aminovaleric acid_no matches_no matches_no matches_no matches,0,0,-540880.8,542863.9,0,1813900.5,0,0,596766.7,0,0,0,0,0,-495960.99999999994,0,0,0,5
278_173.0808_7.6037_1204_N/A_NA_no matches_no matches_no matches_no matches,4585.045,0,0,0,-4913.988,0,0,0,0,0,0,0,0,0,6480.170999999999,9543.769,5501.788999999999,0,5
282_173.0808_6.8494_1204_N/A_NA_no matches_no matches_no matches_no matches,-16416.909999999996,0,33426.450000000004,10196.088,23216.308,21157.768,0,0,0,23376.89,0,11303.140000000001,0,0,-13452.249999999998,48263.18,19736.11,29956.04,11
