"","max_blanks","mean_samples","flag"
"56_158.0964_4.379_-1_N/A_Massbank: Gabapentin-lactam|2-azaspiro[4.5]decan-3-one_no matches_no matches_no matches_no matches",848730.4,209321.656666667,1
"58_158.0964_3.3982_-1_N/A_Massbank:LU047401 4-(2,5-Diethoxy-4-nitrophenyl)morpholine_no matches_no matches_no matches_no matches",1532526,564992.95,1
"59_158.0964_3.7765_-1_N/A_""2,4,6-Trimethylpyridin""_no matches_no matches_no matches_no matches",1608300,227005.195416667,1
"60_158.0964_2.7044_-1_N/A_Massbank:PR302259 Luteolin_no matches_no matches_no matches_no matches",206867.4,152389.75,1
"61_158.0964_3.5304_6488_N/A_MassbankEU:SM806602 2,4,6-Trimethylpyridine|2,4,6-trimethylpyridin_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",6497440,3267609.20416667,1
"63_158.1175_3.3586_4846_N/A_NA_no matches_no matches_no matches_no matches",1175698,35563.8626666667,1
"64_158.1539_9.2058_-1_hyocholic acid_Massbank:LU031601 4-Butyloxyaniline|4-butoxyaniline_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Bile acids, alcohols and derivatives",215108.5,317564.94625,1
"68_158.1903_5.5034_1589_N/A_TRANEXAMIC ACID_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",192753.1,18705.547625,1
"71_159.1168_7.3311_3041_N/A_cuminyl alcohol_no matches_no matches_no matches_no matches",522040.1,88698.06625,1
"72_159.1168_5.5569_3518_N/A_NA_no matches_no matches_no matches_no matches",451949.8,38531.84,1
"74_160.1332_7.8602_1108_N/A_Massbank:LU092502 N,N-Dimethylacetoacetamide|N,N-dimethyl-3-oxobutanamide_no matches_no matches_no matches_no matches",2661426,50492.9145,1
"77_161.096_8.6456_3041_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Sphondin_no matches_no matches_no matches_no matches",112607.6,185722.977916667,1
"78_161.096_6.2386_906_Spectral Match to Progesterone 3-biotin from NIST14_4-Methoxycinnamic acid_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA",1274230,644255.429166667,1
"79_161.096_8.8616_3041_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_Sphondin_no matches_no matches_no matches_no matches",97600.2,141200.669583333,1
"80_161.096_9.8498_3041_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_2-{[4-(tert-butyl)phenyl]carbonylamino}acetic acid_no matches_no matches_no matches_no matches",93467.09,127584.245833333,1
"83_161.0961_9.673_3041_Spectral Match to 9,12-Octadecadiynoic Acid from NIST14_2-{[4-(tert-butyl)phenyl]carbonylamino}acetic acid_no matches_no matches_no matches_no matches",140341.5,234369.754166667,1
"84_161.0961_6.639_3041_Spectral Match to Pinolenic acid from NIST14_Spectral Match to Pinolenic acid from NIST14_no matches_no matches_no matches_no matches",206606.2,93063.6075,1
"85_161.1324_9.2753_3041_N/A_Spectral Match to Pinolenic acid from NIST14_no matches_no matches_no matches_no matches",199400.4,165431.002083333,1
"86_161.1324_7.1279_3041_N/A_Spectral Match to 5.alpha.-Androsterone from NIST14_no matches_no matches_no matches_no matches",1274094,61502.5104166667,1
"87_161.1324_9.8081_3041_N/A_Spectral Match to Pinolenic acid from NIST14_no matches_no matches_no matches_no matches",143036.5,147291.425416667,1
"88_161.1325_6.6039_3041_N/A_Spectral Match to Pinolenic acid from NIST14_no matches_no matches_no matches_no matches",313670.4,22022.1635416667,1
"89_162.1277_3.9868_-1_N/A_Massbank:LU128501 4,4'-Methylenebis(N,N-dimethylaniline)|4-[[4-(dimethylamino)phenyl]methyl]-N,N-dimethylaniline_no matches_no matches_no matches_no matches",936094.6,41643.4566666667,1
"92_163.0389_5.4381_573_Massbank:LU019401 4-Methylphthalic anhydride|5-methyl-2-benzofuran-1,3-dione_Massbank:EQ367304 Dimethyl-phthalate|Dimethyl phthalate|Dimethyl benzene-1,2-dicarboxylate_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",75404.55,139677.818333333,1
"96_163.0389_10.3199_6122_N/A_allantoin_no matches_no matches_no matches_no matches",287432.2,309047.441666667,1
"97_163.0752_7.8597_573_N/A_Massbank:LU128901 Warfarin|4-hydroxy-3-(3-oxo-1-phenylbutyl)chromen-2-one_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",212520.2,408889.091666667,1
"98_163.0753_10.0411_573_N/A_Spectral Match to Benzophenone from NIST14_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",363526.5,170897.8875,1
"99_163.0753_8.0694_573_N/A_Spectral Match to Benzophenone from NIST14_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",516962.8,667465.0125,1
"101_163.0753_11.0588_573_N/A_Spectral Match to Benzophenone from NIST14_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",210409.3,42786.4504166667,1
"102_163.0753_8.2319_573_N/A_Spectral Match to Benzophenone from NIST14_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",1013933,861876.554166667,1
"103_163.0753_5.7987_3759_N/A_Massbank: Diethylene glycol monobutyl ether|2-(2-butoxyethoxy)ethanol_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Ethers",82505.02,85017.37125,1
"106_163.0977_16.2189_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",116924.4,55820.0970833333,1
"107_163.0977_14.8251_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",90923.38,50251.42125,1
"108_163.0977_16.8009_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",280199.7,79379.7716666667,1
"109_163.0977_14.5667_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",121828.2,59241.4733333333,1
"110_163.0977_16.8745_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",115339.7,64275.99625,1
"111_163.0977_15.1791_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",78566.48,55825.5616666667,1
"112_163.0977_16.4171_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",302451.9,64631.1816666667,1
"113_163.0977_16.6192_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",157056.9,62550.4904166667,1
"114_163.0977_15.3416_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",104511.1,57384.9841666667,1
"115_163.0977_15.7248_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",147487.8,57252.3325,1
"116_163.0977_16.0662_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",116924.4,55458.16375,1
"117_163.0977_15.9184_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",97171.02,52121.5483333333,1
"118_163.0977_15.5614_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",129672.6,55727.4775,1
"119_163.0977_14.9526_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",137417.5,57590.8483333333,1
"120_163.0977_14.0982_1101_N/A_Massbank:LU101103 3-Methyl-1-phenyl-1H-pyrazol-5-amine|5-methyl-2-phenylpyrazol-3-amine_no matches_no matches_no matches_no matches",121533.5,47935.48625,1
"121_163.1116_7.9401_573_N/A_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",96902.36,156660.172083333,1
"123_163.1117_8.0854_573_N/A_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",87956.1,136288.167083333,1
"128_163.148_9.7399_3041_Spectral Match to 3,5-Dimethyladamantan-1-amine from NIST14_MoNA:692444 Rimantadine_no matches_no matches_no matches_no matches",1903411,787885.170833333,1
"129_163.148_8.0762_3041_Spectral Match to 3,5-Dimethyladamantan-1-amine from NIST14_Massbank:EQ314905 Rimantadine|1-(1-adamantyl)ethanamine_no matches_no matches_no matches_no matches",5462274,102989.290541667,1
"130_163.148_12.1836_3041_Spectral Match to 3,5-Dimethyladamantan-1-amine from NIST14_Massbank:EQ314905 Rimantadine|1-(1-adamantyl)ethanamine_no matches_no matches_no matches_no matches",387955.9,142842.630083333,1
"131_163.1481_10.5047_-1_N/A_Spectral Match to 1-Phenoxy-2-propanol from NIST14_no matches_no matches_no matches_no matches",229707.9,88866.7466666667,1
"132_164.0705_9.3929_141_N/A_Pesticide10_Carbendazim_C9H9N3O2_mecarzole_no matches_no matches_no matches_no matches",3747.594,2190.17366666667,1
"133_164.0837_6.084_4088_N/A_Massbank:LU080703 Azacyclotridecan-2-one_no matches_no matches_no matches_no matches",662774,170862.592083333,1
"134_164.107_6.5467_-1_N/A_MoNA:821390 N-ethyl-4-methoxybenzamide_no matches_no matches_no matches_no matches",27020000,19105124.7916667,1
"135_164.107_3.3856_1332_N/A_Homovanillyl alcohol_Organic compounds_Organoheterocyclic compounds_Coumarans_NA",210142.8,226818.862916667,1
"136_164.107_3.2631_1332_N/A_Isovaleric acid_Organic compounds_Organoheterocyclic compounds_Coumarans_NA",107336.4,153965.184583333,1
"139_164.107_5.7336_795_N-(2-Phenylethyl)acetamide_Untitled_no matches_no matches_no matches_no matches",89464.36,119515.36875,1
"140_164.1071_1.4651_155_N/A_p-coumaric acid_Organic compounds_Benzenoids_Phenols_1-hydroxy-4-unsubstituted benzenoids",154202.2,16610.6780833333,1
"141_164.1434_4.8393_2171_Massbank:LU046802 4-Pentylaniline_""2,4,6-Trimethylpyridin""_no matches_no matches_no matches_no matches",1369038,214065.053333333,1
"142_164.1434_4.892_2171_Massbank:LU046801 4-Pentylaniline_Massbank:PR303056 Delphinidin_no matches_no matches_no matches_no matches",992838.1,325139.220833333,1
"143_164.1434_5.7219_-1_Massbank:LU046802 4-Pentylaniline_Massbank:LU116501 2-(3-Phenylpropyl)pyridine_no matches_no matches_no matches_no matches",1593888,386109.858333333,1
"145_165.091_8.6612_4508_Spectral Match to .alpha.-CMBHC from NIST14_Untitled_Organic compounds_Benzenoids_Benzene and substituted derivatives_Phenylpropanes",620445.9,624571.216666667,1
"146_165.091_9.3146_8782_N/A_Spectral Match to 5.alpha.-Androsterone from NIST14_no matches_no matches_no matches_no matches",95276.17,161916.680833333,1
"147_165.091_5.3963_4276_Spectral Match to 3-Hexyne-2,5-diol, 2,5-dimethyl- from NIST14_Spectral Match to L-Tyrosine from NIST14_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",281712.7,302459.15,1
"148_165.091_6.1718_4276_(1s,4r)-7,7-dimethyl-2-oxobicyclo[2.2.1]heptane-1-carboxylic acid_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",147361.9,203990.478333333,1
"150_165.091_6.5347_4276_N/A_Xanthoxylin_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",205654.6,372655.9375,1
"151_165.091_4.8858_4276_(1s,4r)-7,7-dimethyl-2-oxobicyclo[2.2.1]heptane-1-carboxylic acid_Spectral Match to L-Tyrosine from NIST14_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",535051.9,279734.127916667,1
"152_165.091_3.5633_4276_(1s,4r)-7,7-dimethyl-2-oxobicyclo[2.2.1]heptane-1-carboxylic acid_Spectral Match to 15-Deoxy-.DELTA.12,14-prostaglandin J2-2-glycerol ester from NIST14_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",201882.4,143262.79875,1
"155_165.1274_8.3845_151_N/A_10-HYDROXYDECANOATE_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_NA",73624.16,101606.576666667,1
"157_166.0839_1.9192_-1_Spectral Match to 4-(2-Amino-1-hydroxyethyl)-2-methoxyphenol from NIST14_Massbank:PR300809 4-Hydroxyquinoline_no matches_no matches_no matches_no matches",602524.3,0,1
"160_166.1226_8.682_1934_Massbank:LU031601 4-Butyloxyaniline|4-butoxyaniline_Massbank:KW102503 p-phenetidine_Organic compounds_Benzenoids_Phenol ethers_Aminophenyl ethers",2413630,96659.2258333333,1
"161_166.1226_8.0069_1934_Massbank:LU031602 4-Butyloxyaniline|4-butoxyaniline_Massbank: Isophorone|3,5,5-trimethylcyclohex-2-en-1-one_Organic compounds_Benzenoids_Phenol ethers_Aminophenyl ethers",352221.7,144487.637083333,1
"162_166.159_8.9974_-1_N/A_Spectral Match to cis-7,10,13,16-Docosatetraenoic acid from NIST14_no matches_no matches_no matches_no matches",1369654,387711.802916667,1
"163_166.159_7.309_3974_N/A_1-(1-methyl-1,2,3,4-tetrahydroisoquinolyl)cyclohexan-1-ol_no matches_no matches_no matches_no matches",9234932,60444.6299583333,1
"164_167.0127_8.6515_2282_N/A_(S)-(-)-Perillic acid_Organic compounds_Benzenoids_Benzene and substituted derivatives_Methoxybenzenes",2274743,218176.494583333,1
"165_167.0128_8.0168_32_N/A_Massbank:LU129002 4-tert-Butylcatechol|4-tert-butylbenzene-1,2-diol_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",2196470,298288.029166667,1
"166_167.0128_9.3638_2282_N/A_(S)-(-)-Perillic acid_Organic compounds_Benzenoids_Benzene and substituted derivatives_Methoxybenzenes",2229474,392753.995,1
"167_167.0128_9.1632_2282_N/A_(S)-(-)-Perillic acid_Organic compounds_Benzenoids_Benzene and substituted derivatives_Methoxybenzenes",2236238,381437.89,1
"168_167.0128_8.9472_2282_N/A_(S)-(-)-Perillic acid_Organic compounds_Benzenoids_Benzene and substituted derivatives_Methoxybenzenes",2341456,333419.76,1
"169_167.0128_9.6653_2282_N/A_(S)-(-)-Perillic acid_Organic compounds_Benzenoids_Benzene and substituted derivatives_Methoxybenzenes",2115723,297446.283333333,1
"170_167.0338_10.7313_1039_N/A_Spectral Match to Diethyl phthalate from NIST14_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",98051.27,66480.29875,1
"171_167.0702_5.2203_32_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",793691.1,787415.433333333,1
"172_167.0702_6.08_5179_N/A_""3,4 DIHYDROXYMANDELATE""_Organic compounds_Benzenoids_Phenols_Methoxyphenols",246312,425364.054166667,1
"179_167.0855_9.0256_4039_Spectral Match to Cyclizine from NIST14_Massbank: Cyclizine|1-(Diphenylmethyl)-4-methylpiperazine_no matches_no matches_no matches_no matches",383912.9,366748.65,1
"181_167.1066_10.2312_682_Massbank:LU079503 6-Pentyl-2H-pyran-2-one|6-pentylpyran-2-one_Parthenolide_Organic compounds_Organoheterocyclic compounds_Pyrans_Pyranones and derivatives",224074.5,189651.12375,1
"182_167.1066_7.7628_32_N/A_Massbank:NA001269 Pterosin B|(2R)-6-(2-hydroxyethyl)-2,5,7-trimethyl-2,3-dihydroinden-1-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",168542.9,208908.181666667,1
"183_167.1066_6.9657_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",66784.29,111856.002916667,1
"184_167.1066_5.3949_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",318810.7,275692.120833333,1
"186_167.1066_6.2439_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",355145.7,136389.976666667,1
"187_167.1066_5.1088_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",1019277,1726874.35,1
"192_167.1066_6.5767_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",250856.7,497568.115833333,1
"193_167.1066_5.938_2282_(S)-(-)-Perillic acid_(1R)-(-)-Nopol_Organic compounds_Benzenoids_Benzene and substituted derivatives_Methoxybenzenes",283362.6,113352.879166667,1
"194_167.1066_6.7998_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",130163.2,210771.04375,1
"196_167.1067_4.8529_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",401473,751696.579166667,1
"197_167.1067_5.7163_2282_(S)-(-)-Perillic acid_(1R)-(-)-Nopol_Organic compounds_Benzenoids_Benzene and substituted derivatives_Methoxybenzenes",449202.5,142206.44875,1
"198_167.143_8.9957_4039_N/A_Massbank: Cyclizine|1-(Diphenylmethyl)-4-methylpiperazine_no matches_no matches_no matches_no matches",432774.5,123785.104375,1
"200_168.1019_2.4957_7204_N/A_cotinine_no matches_no matches_no matches_no matches",12008.67,17749.6653333333,1
"202_169.0571_5.1832_6845_N/A_NA_no matches_no matches_no matches_no matches",196321.8,4075.273,1
"206_169.0859_4.3181_32_N/A_ABSCISIC ACID_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",165198.1,236869.6075,1
"207_169.0859_4.0978_32_N/A_NCGC00169993-02!2,5,8-trihydroxy-6-methoxy-2-methyl-3H-benzo[g]chromen-4-one [IIN-based: Match]_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",652608.1,425267.056666667,1
"210_169.0859_3.8138_32_N/A_NCGC00168939-02!8-hydroxy-3-(4-oxopentyl)-3,4-dihydroisochromen-1-one [IIN-based on: CCMSLIB00000847794]_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",519365,213941.06875,1
"211_169.0859_4.9115_32_N/A_ADIPATE_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",122662.7,238083.129166667,1
"212_169.0859_5.7177_32_N/A_ADIPATE_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",316408.1,157027.076666667,1
"213_169.0859_3.7254_32_N/A_NCGC00169993-02!2,5,8-trihydroxy-6-methoxy-2-methyl-3H-benzo[g]chromen-4-one [IIN-based: Match]_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",797224.3,88865.8191666667,1
"222_169.1223_4.5826_32_N/A_ADIPATE_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",64090.15,91709.3516666667,1
"224_170.0812_1.4635_3600_N/A_Massbank:LU082005 Acetaminophen|N-(4-hydroxyphenyl)acetamide_no matches_no matches_no matches_no matches",51868.56,95377.53625,1
"226_170.0963_5.3365_3968_2-Aminobiphenyl_MassbankEU:SM806602 2,4,6-Trimethylpyridine|2,4,6-trimethylpyridin_Organic compounds_Benzenoids_Benzene and substituted derivatives_Aniline and substituted anilines",871074.6,112322.107916667,1
"227_170.0964_4.0018_3968_Massbank:EQ309201 Diphenylamine|N-phenylaniline_zawadskinolide C_Organic compounds_Benzenoids_Benzene and substituted derivatives_Aniline and substituted anilines",925218.2,249652.56625,1
"228_170.0964_5.5372_3968_Massbank:EQ309201 Diphenylamine|N-phenylaniline_Massbank:LU080702 Azacyclotridecan-2-one_Organic compounds_Benzenoids_Benzene and substituted derivatives_Aniline and substituted anilines",1979021,315115.3375,1
"229_170.0964_4.4027_3968_Massbank:EQ309201 Diphenylamine|N-phenylaniline_Massbank:LU047401 4-(2,5-Diethoxy-4-nitrophenyl)morpholine_Organic compounds_Benzenoids_Benzene and substituted derivatives_Aniline and substituted anilines",2217523,301574.120833333,1
"230_170.0964_4.852_3686_N/A_AZELAIC ACID_no matches_no matches_no matches_no matches",623368.6,74689.89,1
