Feature_ID,Coral,Coral_Dictyota,Coral_Turf,Turf,Dictyota,count
"95_163.0389_8.3471_573_Massbank:LU019403 4-Methylphthalic anhydride|5-methyl-2-benzofuran-1,3-dione_TRANS-CINNAMALDEHYDE_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",193637.5,NA,214396.1,171382.6,244051.6,4
"100_163.0753_7.727_573_N/A_Massbank:EQ367304 Dimethyl-phthalate|Dimethyl phthalate|Dimethyl benzene-1,2-dicarboxylate_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",NA,NA,NA,NA,NA,0
"122_163.1116_8.7532_573_N/A_MoNA:935504 Dimethyl benzene-1,2-dicarboxylate_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives",NA,NA,NA,NA,NA,0
124_163.1117_10.288_6122_N/A_myrcene_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
125_163.1117_8.2918_573_N/A_myrcene_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives,NA,NA,NA,NA,NA,0
"126_163.1328_5.2065_70_N/A_9-(2,3-dihydroxy-3-methylbutyl)-4-methoxyfuro[3,2-g]chromen-7-one_no matches_no matches_no matches_no matches",NA,8979754,NA,NA,9131845,2
127_163.1328_5.5064_3759_Massbank: Diethylene glycol monobutyl ether|2-(2-butoxyethoxy)ethanol_Massbank: Diethylene glycol monobutyl ether|2-(2-butoxyethoxy)ethanol_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Ethers,NA,NA,NA,NA,NA,0
"137_164.107_3.4952_1332_Massbank:LU109201 2,2-Dimethyl-2,3-dihydro-1-benzofuran-7-amine|2,2-dimethyl-3H-1-benzofuran-7-amine_Isovaleric acid_Organic compounds_Organoheterocyclic compounds_Coumarans_NA",NA,NA,NA,NA,NA,0
"138_164.107_3.6573_1332_N/A_1,4-dimethylhydroquinolin-2-one_Organic compounds_Organoheterocyclic compounds_Coumarans_NA",NA,NA,NA,NA,NA,0
144_164.557_5.4191_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,17446.41,NA,1
"149_165.091_6.2941_4276_(1s,4r)-7,7-dimethyl-2-oxobicyclo[2.2.1]heptane-1-carboxylic acid_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",NA,494017.4,NA,568566.6,NA,2
153_165.1122_2.3349_2187_N/A_2372_Tetraglyme_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Ethers,NA,NA,NA,NA,NA,0
154_165.1273_10.6871_-1_N/A_5-Allyloxypsoralen_no matches_no matches_no matches_no matches,NA,283618.6,214765.1,678494.8,222626,4
156_165.1386_6.6471_-1_N/A_magnolol_no matches_no matches_no matches_no matches,NA,25047.97,226338.3,410261,34129,4
"159_166.0863_1.5165_1423_DL-PHENYLALANINE_DL-PHENYLALANINE_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,0
173_167.0702_6.8538_32_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,NA,NA,286789.9,NA,411368.3,2
174_167.0702_6.4747_32_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,NA,NA,NA,210023.7,NA,1
"175_167.0703_7.4011_2282_2,3-dimethoxybenzaldehyde_(S)-(-)-Perillic acid_Organic compounds_Benzenoids_Benzene and substituted derivatives_Methoxybenzenes",NA,NA,NA,NA,NA,0
177_167.0703_10.3525_682_N/A_Massbank:LU079503 6-Pentyl-2H-pyran-2-one|6-pentylpyran-2-one_Organic compounds_Organoheterocyclic compounds_Pyrans_Pyranones and derivatives,NA,NA,NA,NA,NA,0
178_167.0831_5.2765_2473_N/A_3-amino-1-(2-amino-1H-imidazol-4-yl)-2-chloropropan-1-ol_Organic compounds_Organic acids and derivatives_Organic phosphoric acids and derivatives_Phosphate esters,NA,NA,NA,NA,NA,0
"180_167.1066_9.2652_-1_Massbank:LU129002 4-tert-Butylcatechol|4-tert-butylbenzene-1,2-diol_Massbank:LU129002 4-tert-Butylcatechol|4-tert-butylbenzene-1,2-diol_Organic compounds_Benzenoids_Benzene and substituted derivatives_Phenylpropanes",808348.3,679839.1,NA,NA,671342.2,3
"185_167.1066_9.7177_32_N/A_NCGC00168939-02!8-hydroxy-3-(4-oxopentyl)-3,4-dihydroisochromen-1-one [IIN-based on: CCMSLIB00000847794]_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",NA,NA,NA,NA,NA,0
"188_167.1066_8.074_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",NA,NA,NA,NA,NA,0
"189_167.1066_9.4118_32_(S)-(-)-Perillic acid_""3,4 DIHYDROXYMANDELATE""_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",412204.7,NA,NA,NA,NA,1
"190_167.1066_8.3717_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",779021.3,NA,NA,NA,NA,1
"191_167.1066_8.2143_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",NA,NA,NA,NA,NA,0
"195_167.1067_4.7501_32_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",NA,NA,9052827,NA,NA,1
201_168.5652_6.5035_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
"203_169.076_4.3917_-1_9H-Pyrido[3,4-B]indole_MassbankEU:SM812005 Benzimidazole|1H-Benzimidazole_Organic compounds_Organoheterocyclic compounds_Indoles and derivatives_Pyridoindoles",208684.8,NA,273342.3,253996.1,NA,3
204_169.0858_5.225_6845_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
208_169.0859_4.6185_32_N/A_ADIPATE_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,NA,NA,3256810,NA,NA,1
209_169.0859_5.8545_32_N/A_ADIPATE_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,NA,NA,NA,NA,NA,0
214_169.1222_8.6065_5359_N/A_MoNA:2755679 Nordicol_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
216_169.1223_9.8265_6004_Spectral Match to Perillaldehyde from NIST14_(-)-Myrtenal_Organic compounds_Organoheterocyclic compounds_Lactones_Delta valerolactones,NA,NA,NA,NA,NA,0
218_169.1223_7.1907_4528_N/A_5-oxopentadecanoic acid_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
219_169.1223_5.9626_-1_N/A_10-HYDROXYDECANOATE_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
220_169.1223_7.3802_4528_N/A_5-oxopentadecanoic acid_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
221_169.1223_7.259_4528_N/A_5-oxopentadecanoic acid_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
223_169.1699_7.1204_-1_N/A_Spectral Match to L-Leucine from NIST14_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
225_170.0812_1.0528_3600_N/A_Massbank:LU082005 Acetaminophen|N-(4-hydroxyphenyl)acetamide_no matches_no matches_no matches_no matches,NA,NA,NA,56897.22,NA,1
231_170.1175_6.2355_2732_N/A_2-Amino-1-phenylethanol_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
234_170.1175_6.6343_2331_N/A_Massbank:LU119203 Ethyl 3-(N-butylacetamido)propionate|Ethyl butylacetylaminopropionate|ethyl 3-[acetyl(butyl)amino]propanoate_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Carboxylic acid derivatives,NA,NA,545516.5,NA,NA,1
"235_170.1175_6.3834_2732_N/A_Massbank:LU129002 4-tert-Butylcatechol|4-tert-butylbenzene-1,2-diol_no matches_no matches_no matches_no matches",NA,NA,NA,NA,NA,0
238_170.1651_6.033_-1_N/A_Massbank:LU080702 Azacyclotridecan-2-one_no matches_no matches_no matches_no matches,NA,NA,NA,17236.94,NA,1
"239_171.0991_3.4642_250_N/A_Massbank:LU129002 4-tert-Butylcatechol|4-tert-butylbenzene-1,2-diol_Organic compounds_Benzenoids_Benzene and substituted derivatives_Cumenes",NA,NA,NA,NA,NA,0
240_171.0991_3.7545_250_N/A_zawadskinolide C_Organic compounds_Benzenoids_Benzene and substituted derivatives_Cumenes,NA,NA,NA,NA,NA,0
241_171.0991_3.649_250_N/A_zawadskinolide C_Organic compounds_Benzenoids_Benzene and substituted derivatives_Cumenes,NA,NA,NA,NA,NA,0
242_171.1015_8.8827_1059_azelaic acid_Octanedioic acid_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates,NA,317510.9,352994.7,587812.2,299677.2,4
243_171.1015_4.083_964_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
246_171.1015_4.8802_4247_N/A_Spectral Match to Jasmine lactone from NIST14_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
249_171.1379_8.7181_633_10-Hydroxydecanoic acid_Spectral Match to 4-Hydroxynonenal from NIST14_Organic compounds_Organic acids and derivatives_Hydroxy acids and derivatives_Medium-chain hydroxy acids and derivatives,NA,NA,NA,NA,NA,0
250_171.1379_9.0147_-1_10-Hydroxydecanoic acid_10-HYDROXYDECANOATE_Organic compounds_Organic acids and derivatives_Hydroxy acids and derivatives_Medium-chain hydroxy acids and derivatives,NA,210116.3,182689.9,256217.1,NA,3
255_171.1379_8.2459_633_N/A_Spectral Match to 4-Hydroxynonenal from NIST14_Organic compounds_Organic acids and derivatives_Hydroxy acids and derivatives_Medium-chain hydroxy acids and derivatives,NA,NA,NA,NA,NA,0
"257_171.1491_6.4682_6036_N/A_Pesticide3_Cycluron_C11H22N2O_3-Cyclooctyl-1,1-dimethylurea_no matches_no matches_no matches_no matches",NA,NA,NA,NA,NA,0
258_172.0968_2.345_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
"266_172.1331_6.4798_1589_N/A_tranexamic acid - 40.0 eV_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,0
267_172.1694_7.8352_-1_N/A_Massbank:EA070808 Propachlor|2-chloranyl-N-phenyl-N-propan-2-yl-ethanamide_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
"271_172.1695_9.0887_4974_N/A_MoNA:701097 1-Butanamine, N,N-dibutyl-_no matches_no matches_no matches_no matches",NA,NA,NA,NA,NA,0
274_173.0744_2.1259_906_N/A_Massbank:LU034801 Fensulfothion|diethoxy-(4-methylsulfinylphenoxy)-sulfanylidene-lambda5-phosphane_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA,NA,NA,NA,NA,NA,0
276_173.0808_5.4314_1204_N/A_5-Aminovaleric acid_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
278_173.0808_7.6037_1204_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
282_173.0808_6.8494_1204_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
283_173.0808_4.8611_1204_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
287_173.0961_10.4273_5414_Spectral Match to .gamma.-Tocotrienol from NIST14_Spectral Match to .gamma.-Tocotrienol from NIST14_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
288_173.1172_5.6244_1204_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
289_173.1172_6.4781_1204_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
294_173.1325_10.3364_5414_N/A_Spectral Match to .gamma.-Tocotrienol from NIST14_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
296_173.1536_7.5939_206_N/A_Spectral Match to Tri(propylene glycol) butyl ether from NIST14_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
298_173.1648_7.1248_-1_N/A_Massbank:AU246801 Tri-isobutylphosphate|Triisobutyl phosphate|tris(2-methylpropyl) phosphate_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
299_174.0761_1.5942_1160_N/A_GLUCOSAMINIC ACID_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
301_174.1124_5.373_3438_N/A_Massbank: adipic acid_Organic compounds_Organoheterocyclic compounds_Piperidines_Piperidinecarboxylic acids and derivatives,NA,NA,NA,NA,NA,0
"302_174.1277_9.9007_-1_N/A_Massbank:LU042102 Ethoxyquin|6-ethoxy-2,2,4-trimethyl-1H-quinoline_no matches_no matches_no matches_no matches",NA,NA,NA,NA,NA,0
"304_174.1852_6.6134_-1_N/A_N~1~,N~4~-bis(3-aminopropyl)-1,4-butanediamine_no matches_no matches_no matches_no matches",109142.7,57146.92,219760.3,280394.7,20287.51,5
305_175.0358_7.0258_2_N/A_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines,NA,NA,NA,974441.2,NA,1
308_175.0965_6.5065_212_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,377204.9,271511,NA,2
313_175.1117_10.0392_3041_Spectral Match to (-)-Perillyl alcohol from NIST14_Spectral Match to Pinolenic acid from NIST14_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
314_175.1117_9.8874_3041_Spectral Match to (-)-Perillyl alcohol from NIST14_Spectral Match to Pinolenic acid from NIST14_no matches_no matches_no matches_no matches,NA,NA,NA,479011.6,NA,1
326_175.1328_5.6064_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
327_175.1481_7.7861_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
329_175.1481_9.9604_3041_N/A_Zerumbone_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
"333_176.0198_4.3974_2_N/A_Massbank:EQ372402 Thiram|Dimethylcarbamothioylsulfanyl N,N-dimethylcarbamodithioate_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",NA,NA,34929.44,27024.24,49510.31,3
337_176.1069_8.0396_-1_N/A_Xanthyletin_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
"339_176.1433_4.0329_5799_N/A_3-methoxy-6-methyl-6,7-dihydro-5h-dibenzo[c,e]azepin-2-ol_no matches_no matches_no matches_no matches",NA,NA,NA,NA,NA,0
"340_176.1433_3.8289_5799_N/A_Massbank:EQ365202 Ethoxyquin|6-ethoxy-2,2,4-trimethyl-1H-quinoline_no matches_no matches_no matches_no matches",NA,NA,327408.8,157234.5,195938,3
342_176.1434_3.4485_5799_N/A_6-methoxy-2-phenyl-4H-chromen-4-one_no matches_no matches_no matches_no matches,220748,NA,NA,279588,NA,2
344_177.0546_9.5726_1039_Spectral Match to Diethyl phthalate from NIST14_MoNA:933617 Diethyl phthalate (NF)_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives,NA,NA,NA,NA,NA,0
345_177.0546_10.1286_1039_Spectral Match to Diethyl phthalate from NIST14_Spectral Match to Diethyl phthalate from NIST14_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives,NA,NA,NA,NA,NA,0
"346_177.0692_3.1511_2_N/A_Massbank:EQ370904 Fluometuron|1,1-dimethyl-3-[3-(trifluoromethyl)phenyl]urea_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",NA,NA,29711.5,NA,NA,1
347_177.0728_8.1103_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
350_177.0909_8.7513_4276_N/A_Spectral Match to Pinolenic acid from NIST14_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids,NA,NA,NA,NA,NA,0
354_177.091_8.3865_8782_N/A_Massbank:NA001085 Coniferaldehyde_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
355_177.091_6.4211_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,208474.5,234662.5,NA,2
359_177.1273_8.578_-1_N/A_(3E)-4-(4-methoxyphenyl)but-3-en-2-one_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
372_177.1484_6.2297_166_N/A_Spectral Match to Tri(propylene glycol) butyl ether from NIST14_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Alcohols and polyols,NA,NA,NA,NA,NA,0
373_177.1484_6.1011_166_N/A_Spectral Match to Pentapropylene glycol from NIST14_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Alcohols and polyols,367250.7,NA,NA,NA,NA,1
"374_177.1637_11.0952_-1_Spectral Match to 2-Butanone, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)- from NIST14_Spectral Match to 2-Butanone, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)- from NIST14_no matches_no matches_no matches_no matches",NA,172951.8,NA,NA,164457.3,2
375_178.0993_7.4308_4088_N/A_Azelaic acid - 40.0 eV_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
"384_178.1338_3.2704_-1_N/A_Massbank: Phenazone|1,5-Dimethyl-2-phenyl-1,2-dihydro-3H-pyrazol-3-one_no matches_no matches_no matches_no matches",NA,NA,NA,NA,NA,0
401_179.0702_5.776_3123_N/A_Spectral Match to 4-Hydroxybenzaldehyde from NIST14_Organic compounds_Organoheterocyclic compounds_Quinolines and derivatives_Quinoline carboxylic acids,NA,NA,NA,NA,NA,0
402_179.0702_5.7129_3123_N/A_Spectral Match to 4-Hydroxybenzaldehyde from NIST14_Organic compounds_Organoheterocyclic compounds_Quinolines and derivatives_Quinoline carboxylic acids,NA,NA,NA,NA,NA,0
405_179.0815_1.0367_-1_N/A_Propionic acid_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
"408_179.1066_7.6093_-1_N/A_3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one_no matches_no matches_no matches_no matches",NA,372849.1,NA,NA,NA,1
410_179.1066_7.252_1218_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
413_179.1066_5.5541_-1_N/A_Parthenolide_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
"429_180.1018_3.8981_-1_N/A_2',4'-DIHYDROXYACETOPHENONE_no matches_no matches_no matches_no matches",NA,NA,NA,NA,NA,0
"430_180.1018_3.4707_1423_Phenylalanine methyl ester_Spectral Match to DL-Phenylalanine from NIST14_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,0
"431_180.1018_4.5783_-1_N/A_4-hydroxy-7-methyl-9-(2-oxopropoxy)-5H-furo[3,2-g]chromen-5-one compound with 9-hydroxy-4-methoxy-7-methyl-5H-furo[3,2-g]chromen-5-one (1:1)_no matches_no matches_no matches_no matches",NA,NA,NA,NA,NA,0
432_180.1019_1.8577_116_Massbank:EQ333702 N-ethyl-4-methoxybenzamide_Massbank:NA002800 Hordenine|4-[2-(dimethylamino)ethyl]phenol_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives,18689.28,18546.8,NA,24071.75,19222.09,4
435_180.1381_7.9056_-1_Massbank:LU054801 2-(N-Ethyl-m-toluidino)ethanol|2-(N-ethyl-3-methylanilino)ethanol_Massbank:LU129902 4-(3-Phenylpropyl)pyridine_Organic compounds_Benzenoids_Benzene and substituted derivatives_Toluenes,NA,NA,387292.5,NA,NA,1
439_180.1382_1.7402_2368_N/A_Massbank:EA282010 1-Benzylpiperazine|N-Benzylpiperazine|1-(phenylmethyl)piperazine_Organic compounds_Benzenoids_Benzene and substituted derivatives_Phenylmethylamines,25096.44,NA,29877.53,NA,22984.78,3
"441_180.1593_5.5041_-1_N/A_Spectral Match to Ethanol, 2-(2-butoxyethoxy)- from NIST14_no matches_no matches_no matches_no matches",NA,NA,NA,NA,NA,0
449_181.0719_2.9137_2054_PARAXANTHINE_PARAXANTHINE_Organic compounds_Organoheterocyclic compounds_Imidazopyrimidines_Purines and purine derivatives,NA,520019.4,NA,NA,575431,2
450_181.0858_6.1986_2914_N/A_(+)-Nootkatone - 40.0 eV_no matches_no matches_no matches_no matches,NA,434542.5,NA,535594.9,522674.5,3
451_181.0858_7.2067_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,583269.9,NA,1
452_181.0858_6.9391_-1_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
456_181.0858_6.6445_698_N/A_Artemisinin_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
459_181.0971_9.4763_185_N/A_NA_no matches_no matches_no matches_no matches,NA,NA,NA,NA,NA,0
462_181.1222_8.5161_1059_N/A_Methyl Jasmonate (Mixiture of isomers)_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates,NA,NA,NA,NA,NA,0
